,Ticker,$Ticker,Company Name
2738,TMP,$TMP,Tompkins Financial Corporation
2740,TRXC,$TRXC,"TransEnterix, Inc."
2741,TMQ,$TMQ,Trilogy Metals Inc.
2742,TPHS,$TPHS,Trinity Place Holdings Inc.
2743,TRT,$TRT,Trio-Tech International
2744,UFAB,$UFAB,"Unique Fabricating, Inc."
2745,UAMY,$UAMY,United States Antimony Corporation
2746,UUU,$UUU,"Universal Security Instruments, Inc."
2747,URG,$URG,Ur-Energy Inc.
2748,UEC,$UEC,Uranium Energy Corp.
2749,VGZ,$VGZ,Vista Gold Corp.
2750,VNRX,$VNRX,VolitionRx Limited
2751,VOLT,$VOLT,"Volt Information Sciences, Inc."
2752,EAD,$EAD,Wells Fargo Advantage Funds - Wells Fargo Income Opportunities Fund
2753,ERC,$ERC,Wells Fargo Advantage Multi-Sector Income Fund
2754,ERH,$ERH,Wells Fargo Advantage Utilities and High Income Fund
2755,WRN,$WRN,Western Copper and Gold Corporation
2756,WYY,$WYY,WidePoint Corporation
2757,WTT,$WTT,"Wireless Telecom Group, Inc."
2758,XTNT,$XTNT,"Xtant Medical Holdings, Inc."
2759,ZDGE,$ZDGE,"Zedge, Inc."
2760,ZOM,$ZOM,Zomedica Corp.
